rank,id,market,company,title,location,employment_type,salary_original,required_skills,preferred_skills,summary,source_url,notes
,BR-010,brazil,Cresol,Desenvolvedor de Sistemas Senior - Frontend React e Next.js,Brasil,full_time,,React | Next.js | TypeScript | Jest | React Testing Library | REST APIs | web performance | completed degree,Azure | Cypress | design systems | UX/UI,"Frontend senior especializado em Next 15, BFF, performance, design system e testes; exige formacao completa e pos para a trilha senior.",https://remotive.com/remote/jobs/software-development/senior-systems-developer-frontend-react-and-next-js-4396108,
,INT-008,international,Connectly,Senior Software Engineer (Brazil),Brasil remoto,full_time,,Python | AWS | Kafka | PostgreSQL | DynamoDB | enterprise systems,React | TypeScript | conversational AI | WhatsApp,"Comercio conversacional em escala na America Latina, backend Python/AWS e IA, com frontend React como diferencial.",https://jobs.ashbyhq.com/connectly/a3c62b97-6d14-4249-82f4-3bfa6e25dfca,
,INT-009,international,Goody,Staff Software Engineer,"Brasil, Canada ou EUA",full_time,"$200K-$250K, faixa explicitamente para EUA/Canada",React | TypeScript | backend systems | REST APIs | startup experience,Node.js | Python | product engineering,"Full stack staff em produto de gifting; aceita Brasil, mas exige profundidade staff e a faixa divulgada nao vale para o candidato BR.",https://jobs.ashbyhq.com/goody/51513fb9-5e0f-40a3-8c2b-bf2b56183215,
,BR-013,brazil,Base2 Tecnologia,Tech Lead (Pleno/Senior),Brasil,full_time,,React | Node.js | Next.js | CI/CD | AWS | technical leadership,Express | Vite | TypeORM | Prisma | AI automation,"Lideranca tecnica em laboratorio de IA com React, Node e Next, responsabilidade por ambientes, AWS e decisoes de arquitetura.",https://remotive.com/remote/jobs/software-development/tech-lead-pleno-senior-4818531,
,INT-015,international,AgilityIO,"Senior Full Stack Engineer (NestJS, Next.js, PostgreSQL)",LATAM remoto,contract,,TypeScript | Next.js | NestJS | React | PostgreSQL | REST APIs | system design,Node.js | cloud infrastructure | API integrations,"Consultoria internacional com stack TypeScript/Next/Nest/Postgres muito aderente, mas nivel senior e contrato com clientes.",https://jobs.ashbyhq.com/agility.io/a92d8f85-e318-492f-862a-3e81573c08f5,
,INT-010,international,Goody,"Senior Software Engineer, Growth","Brasil, Canada ou EUA",full_time,"$150K-$200K, faixa explicitamente para EUA/Canada",React | TypeScript | backend systems | growth experiments | product analytics,Node.js | Python | Ruby on Rails,"Full stack senior voltado a experimentos de aquisicao e retencao; boa stack, mas pede experiencia de growth e senioridade.",https://jobs.ashbyhq.com/goody/aa85bb77-fb2e-4393-9462-3b8c248ecc8d,
,INT-001,international,Reacher,Software Engineer - Latam,LATAM remoto,full_time,$60K-$85K por ano + equity,Python | FastAPI | PostgreSQL | React | TypeScript | Next.js | Tailwind CSS | shadcn/ui | Jest | AI coding tools,LLM integrations | AI agents | MCP | Playwright | GCP,"AI SaaS full stack com aderencia quase direta ao perfil e senioridade ampla, mas exige uso profundo de agentes de codigo e ownership de produto.",https://jobs.ashbyhq.com/reacher/e4d436eb-dd77-44d0-9586-44d48ad84aea,
,BR-007,brazil,Lyncas,Desenvolvedor Node.js Pleno,Brasil,full_time,,Node.js | TypeScript | REST APIs | SQL | JWT | OAuth | Git,Express | Docker | Azure | CI/CD | automated testing | Kafka | microservices,"Backend Node/TypeScript para APIs, autenticacao, dados e performance; Express, cloud, Docker e testes contam como diferenciais.",https://remotive.com/remote/jobs/software-development/mid-level-node-js-developer-4887490,
,INT-002,international,Rollstack,Software Engineer - TypeScript,Brasil e Americas selecionadas,full_time,,TypeScript | React | Tailwind CSS | shadcn/ui | Node.js | REST APIs | CI/CD | cloud infrastructure,PostgreSQL | Prisma | Kubernetes | LLM integrations | system design,"Produto YC para automacao de documentos com frontend React/shadcn e backend Node, integracoes e camada generativa.",https://jobs.ashbyhq.com/rollstack/0e7f20c9-b63e-48d6-bcb3-5eb5f5f06e24,
,BR-006,brazil,CI&T,Senior Backend Node.js Developer,Brasil,full_time,,Node.js | JavaScript | Jest | AWS | CI/CD | infrastructure as code | technical support,GitHub Actions | Terraform | cloud architecture,"Backend Node senior para time internacional, equilibrando novas features e diagnostico de producao diretamente com clientes.",https://remotive.com/remote/jobs/software-development/senior-backend-node-js-developer-3859694,
,BR-003,brazil,Nexer,Front-end Developer,Brasil,pj,"R$ 7.000-R$ 10.000 por mes, PJ",Angular | TypeScript | JavaScript | HTML | CSS | RxJS | REST APIs,React | Node.js | C# | Azure DevOps,Frontend de portais empresariais com Angular como stack principal; React e Node aparecem como alternativas ou extensoes.,https://remotive.com/remote/jobs/software-development/front-end-developer-3776007,
,INT-005,international,Sardine,Senior Software Engineer,Belo Horizonte e cidades BR selecionadas,full_time,R$285K-R$400K por ano + equity,backend systems | REST APIs | production systems | English,Go | TypeScript | React | Node.js | PostgreSQL | Python | fintech | Terraform,"Backend de prevencao a fraude em escala com Go como vantagem; aceita Belo Horizonte, mas pede sete anos e dominio fintech.",https://jobs.ashbyhq.com/sardine/301662be-e7ab-4827-936a-13fe02add4aa,
,INT-003,international,Sierra Studio,"Senior Full Stack Engineer (TypeScript, React, Python and FastAPI)",Brasil remoto,contract,$6K-$8K por mes,TypeScript | React | Python | FastAPI | technical leadership | system design | LLM integrations,pair programming | mentoring | insurance,"Stack ideal em plataforma de compliance com IA, mas papel senior/lead exige oito anos e lideranca formal.",https://jobs.ashbyhq.com/sierra-studio/c83041f3-de71-4500-ab90-648d17004de4,
,BR-012,brazil,Grupo Taking,Senior Back-end Developer,Brasil,pj,,TypeScript | Node.js | React | React Native | PHP | automated testing | code review | completed degree,fintech | payments | mobile publishing,"Fintech senior com Node/TypeScript e React, mas tambem PHP, React Native, experiencia em pagamentos e formacao completa.",https://remotive.com/remote/jobs/software-development/senior-back-end-developer-4288863,
,BR-011,brazil,Capgemini,Frontend Developer,Brasil,full_time,,Angular | TypeScript | micro frontends | Jest | design systems | Git,AI coding tools | hexagonal architecture | SonarQube,"Frontend TypeScript centrado em Angular 17, micro-frontends, design system e Jest.",https://remotive.com/remote/jobs/software-development/frontend-developer-5178758,
,BR-009,brazil,GFT Technologies,Backend Developer Node.js Pleno,Brasil,full_time,,Node.js | TypeScript | REST APIs | AWS Lambda | DynamoDB | PostgreSQL | Jest | CI/CD,SNS | SQS | EventBridge | Jenkins | Datadog | fintech,"Backend Node serverless em AWS com TypeScript, PostgreSQL/DynamoDB, testes e observabilidade.",https://remotive.com/remote/jobs/software-development/backend-developer-node-js-mid-level-4154126,
,BR-005,brazil,EloGroup,Desenvolvedor Junior,Brasil,full_time,,Python | FastAPI | React | JavaScript | Git | REST APIs | automated testing,Node.js | Express | Docker | CI/CD | monitoring,"Posicao junior full stack em Python/FastAPI/React cobrindo implementacao, testes, deploy, monitoramento e code review.",https://remotive.com/remote/jobs/software-development/junior-developer-4219614,
,INT-011,international,XBOW,Software Engineer - AI Systems,Brasil e outros paises remotos,full_time,"$100K-$350K, varios niveis",LLM integrations | prompt engineering | software engineering | TypeScript,AI agents | cybersecurity | LLM orchestration,"Engenharia de sistemas de IA ofensiva com foco direto em prompting, orquestracao LLM e fundamentos de software; aceita varios niveis.",https://jobs.ashbyhq.com/xbowcareers/304f9f4e-477e-4d29-a39a-7c212738a0c8/,
,BR-004,brazil,Empresa confidencial,Desenvolvedor Full Stack Pleno,Brasil,clt,"R$ 6.000-R$ 7.000 por mes, CLT",React | Node.js | Express | JavaScript | REST APIs | Git | automated testing,TypeScript | PostgreSQL | Docker | CI/CD,"Vaga plena generalista para interfaces React e APIs Node/Express, com testes, banco relacional e Docker como diferenciais.",https://remotive.com/remote/jobs/software-development/mid-level-full-stack-developer-4986323,
,INT-014,international,Labrynth (Infinity),Software Engineer,LATAM remoto,full_time,,Python | Django | FastAPI | Redis | backend systems | system design | production reliability,AI systems | regulated industries | Celery,"Papel fundador de backend em plataforma regulatoria com IA, Python/FastAPI e alta responsabilidade arquitetural.",https://jobs.ashbyhq.com/infinity-constellation/bf706ca9-983a-4ba3-8499-f3d9b599a3c6,
